1.000000,0.121706,0.007875,0.014777,0.108630,0.092170,0.114238,0.150912,0.097681,0.119716,0.197804,0.076705,0.311041,0.052920,0.014703,0.002629,0.069976,0.046215,0.043488,0.038604,0.026678
0.489732,1.000000,0.029654,0.009327,0.475782,0.429597,0.537262,0.608948,0.327509,0.554550,0.313972,0.392861,0.607009,0.125408,0.014054,0.007700,0.193062,0.154906,0.198424,0.215785,0.177601
0.002793,0.002614,1.000000,0.163435,0.002296,0.001435,0.002032,0.014465,0.005998,0.006827,0.026547,0.003519,0.000676,0.001334,0.069189,0.093709,0.061032,0.014970,0.017955,0.007894,0.008196
0.006154,0.000965,0.191891,1.000000,0.006638,0.015787,0.004064,0.006518,0.023432,0.011248,0.063273,0.016986,0.000296,0.027424,0.071351,0.177653,0.025210,0.015920,0.021675,0.018252,0.011931
0.673250,0.732806,0.040113,0.098774,1.000000,0.827460,0.722446,0.603440,0.613311,0.585889,0.563872,0.544308,0.601351,0.068930,0.017081,0.007512,0.484621,0.298296,0.248419,0.268374,0.211367
0.012614,0.014611,0.000554,0.005188,0.018272,1.000000,0.012943,0.016609,0.013960,0.015444,0.005788,0.007780,0.005235,0.003113,0.000649,0.000000,0.014784,0.006322,0.005696,0.006715,0.004620
0.056437,0.065962,0.002830,0.004821,0.057588,0.046723,1.000000,0.036372,0.033758,0.030782,0.033533,0.023710,0.042474,0.006967,0.010378,0.000939,0.023638,0.021753,0.021015,0.027726,0.021425
0.078327,0.078545,0.021164,0.008122,0.050535,0.062988,0.038212,1.000000,0.046262,0.211387,0.038124,0.033157,0.066540,0.023570,0.033946,0.020657,0.018962,0.013106,0.032340,0.032671,0.032438
0.159577,0.132965,0.027624,0.091909,0.161665,0.166640,0.111631,0.145614,1.000000,0.124182,0.179641,0.116308,0.123791,0.033353,0.040000,0.052019,0.122057,0.092424,0.054356,0.045735,0.031077
0.173741,0.200007,0.027932,0.039195,0.137195,0.163770,0.090427,0.591077,0.110318,1.000000,0.068463,0.108825,0.216677,0.052920,0.062919,0.024789,0.043428,0.040991,0.085439,0.096971,0.078927
0.021628,0.008531,0.008183,0.016611,0.009948,0.004624,0.007421,0.008031,0.012023,0.005158,1.000000,0.007354,0.006755,0.002520,0.005405,0.073803,0.008375,0.005686,0.004020,0.004008,0.003196
0.090373,0.115029,0.011689,0.048051,0.103475,0.066975,0.056545,0.075267,0.083881,0.088347,0.079242,1.000000,0.033186,0.004744,0.002378,0.000563,0.044146,0.053279,0.052980,0.042109,0.032501
0.160778,0.077975,0.000984,0.000367,0.050154,0.019774,0.044441,0.066269,0.039169,0.077174,0.031936,0.014559,1.000000,0.010821,0.001730,0.000188,0.003137,0.013659,0.033324,0.027778,0.015697
0.007791,0.004588,0.000554,0.009694,0.001637,0.003349,0.002076,0.006686,0.003006,0.005369,0.003393,0.000593,0.003082,1.000000,0.003243,0.002441,0.000989,0.006274,0.007107,0.005552,0.003038
0.001484,0.000353,0.019687,0.017292,0.000278,0.000478,0.002120,0.006602,0.002471,0.004376,0.004990,0.000204,0.000338,0.002224,1.000000,0.014272,0.001248,0.001579,0.007226,0.006836,0.008228
0.000306,0.000222,0.030700,0.049570,0.000141,0.000000,0.000221,0.004625,0.003700,0.001985,0.078443,0.000056,0.000042,0.001927,0.016432,1.000000,0.000524,0.001324,0.009691,0.005431,0.002975
0.236136,0.161906,0.580596,0.204255,0.263868,0.364535,0.161461,0.123287,0.252124,0.100979,0.258483,0.126440,0.020477,0.022680,0.041730,0.015211,1.000000,0.226704,0.077084,0.051964,0.047122
0.517994,0.431481,0.472991,0.428422,0.539462,0.517780,0.493528,0.283029,0.634111,0.316576,0.582834,0.506854,0.296179,0.477616,0.175351,0.127700,0.752988,1.000000,0.000000,0.000000,0.000000
0.415050,0.470628,0.483081,0.496699,0.382551,0.397225,0.405973,0.594693,0.317556,0.561873,0.350898,0.429167,0.615284,0.460717,0.683243,0.795869,0.218013,0.000000,1.000000,0.000000,0.000000
0.048559,0.067453,0.027993,0.055125,0.054468,0.061713,0.070592,0.079178,0.035214,0.084046,0.046108,0.044956,0.067596,0.047436,0.085189,0.058779,0.019370,0.000000,0.000000,1.000000,0.000000
0.018398,0.030437,0.015935,0.019755,0.023519,0.023282,0.029907,0.043100,0.013119,0.037504,0.020160,0.019023,0.020942,0.014231,0.056216,0.017653,0.009630,0.000000,0.000000,0.000000,1.000000
